,wallTime,dtstamp,step,training_loss_step,epoch
0,1638178996,2021.11.29-09.40,49,2.6096053,800.0
1,1638179116,2021.11.29-09.40,99,2.8172016,801.0
2,1638179223,2021.11.29-09.40,149,2.8778827,801.0
3,1638179336,2021.11.29-09.40,199,2.8470185,802.0
4,1638179467,2021.11.29-09.40,249,2.5231383,803.0
5,1638179571,2021.11.29-09.40,299,2.6927733,803.0
6,1638179695,2021.11.29-09.40,349,2.8200657,804.0
7,1638179796,2021.11.29-09.40,399,2.7438574,804.0
8,1638179914,2021.11.29-09.40,449,2.722009,805.0
9,1638180041,2021.11.29-09.40,499,2.917615,806.0
10,1638180144,2021.11.29-09.40,549,2.5952828,806.0
11,1638180259,2021.11.29-09.40,599,2.8837428,807.0
12,1638180388,2021.11.29-09.40,649,2.7912822,808.0
13,1638180491,2021.11.29-09.40,699,2.745978,808.0
14,1638180607,2021.11.29-09.40,749,2.5336668,809.0
15,1638180714,2021.11.29-09.40,799,2.8048382,809.0
16,1638180831,2021.11.29-09.40,849,2.7054477,810.0
17,1638180956,2021.11.29-09.40,899,2.7375495,811.0
18,1638181056,2021.11.29-09.40,949,2.9337835,811.0
19,1638181175,2021.11.29-09.40,999,2.7134786,812.0
20,1638181279,2021.11.29-09.40,1049,3.0445902,812.0
21,1638181397,2021.11.29-09.40,1099,2.575385,813.0
22,1638181522,2021.11.29-09.40,1149,2.9052825,814.0
23,1638181628,2021.11.29-09.40,1199,2.9231017,814.0
24,1638181741,2021.11.29-09.40,1249,2.854005,815.0
25,1638181868,2021.11.29-09.40,1299,2.5656426,816.0
26,1638181970,2021.11.29-09.40,1349,2.7114465,816.0
27,1638182091,2021.11.29-09.40,1399,2.6300693,817.0
28,1638182197,2021.11.29-09.40,1449,2.6146536,817.0
29,1638182316,2021.11.29-09.40,1499,2.8993645,818.0
30,1638182442,2021.11.29-09.40,1549,2.8818016,819.0
31,1638182548,2021.11.29-09.40,1599,2.541893,819.0
32,1638182667,2021.11.29-09.40,1649,2.4889605,820.0
33,1638182773,2021.11.29-09.40,1699,2.5912645,820.0
34,1638182889,2021.11.29-09.40,1749,2.6823795,821.0
35,1638183016,2021.11.29-09.40,1799,2.543875,822.0
36,1638183123,2021.11.29-09.40,1849,2.6786215,822.0
37,1638183237,2021.11.29-09.40,1899,2.6316185,823.0
38,1638183362,2021.11.29-09.40,1949,2.6189225,824.0
39,1638183461,2021.11.29-09.40,1999,2.9144254,824.0
40,1638183579,2021.11.29-09.40,2049,2.7148006,825.0
41,1638183679,2021.11.29-09.40,2099,2.770887,825.0
42,1638183795,2021.11.29-09.40,2149,2.526454,826.0
43,1638183919,2021.11.29-09.40,2199,2.7778685,827.0
44,1638184019,2021.11.29-09.40,2249,2.4351423,827.0
45,1638184132,2021.11.29-09.40,2299,2.8036506,828.0
46,1638184256,2021.11.29-09.40,2349,2.5860884,829.0
47,1638184356,2021.11.29-09.40,2399,2.721791,829.0
48,1638184472,2021.11.29-09.40,2449,2.872551,830.0
49,1638184576,2021.11.29-09.40,2499,2.7989528,830.0
50,1638184689,2021.11.29-09.40,2549,2.7084446,831.0
51,1638184818,2021.11.29-09.40,2599,2.74907,832.0
52,1638184919,2021.11.29-09.40,2649,2.7834737,832.0
53,1638185036,2021.11.29-09.40,2699,2.8648407,833.0
54,1638185140,2021.11.29-09.40,2749,2.7368364,833.0
55,1638185256,2021.11.29-09.40,2799,2.3797977,834.0
56,1638185380,2021.11.29-09.40,2849,2.7040744,835.0
57,1638185481,2021.11.29-09.40,2899,2.9525054,835.0
58,1638185600,2021.11.29-09.40,2949,2.3952816,836.0
59,1638185721,2021.11.29-09.40,2999,2.8497894,837.0
60,1638185824,2021.11.29-09.40,3049,2.5897322,837.0
61,1638185943,2021.11.29-09.40,3099,2.8505883,838.0
62,1638186047,2021.11.29-09.40,3149,2.8337045,838.0
63,1638186162,2021.11.29-09.40,3199,2.404459,839.0
64,1638186287,2021.11.29-09.40,3249,2.7457986,840.0
65,1638186389,2021.11.29-09.40,3299,2.832162,840.0
66,1638186507,2021.11.29-09.40,3349,2.8730748,841.0
67,1638186608,2021.11.29-09.40,3399,2.7355943,841.0
68,1638186725,2021.11.29-09.40,3449,2.7373304,842.0
69,1638186847,2021.11.29-09.40,3499,2.7737148,843.0
70,1638186956,2021.11.29-09.40,3549,2.7122948,843.0
71,1638187069,2021.11.29-09.40,3599,2.7542107,844.0
72,1638187198,2021.11.29-09.40,3649,2.7836885,845.0
73,1638187300,2021.11.29-09.40,3699,2.8225906,845.0
74,1638187414,2021.11.29-09.40,3749,2.8060596,846.0
75,1638187514,2021.11.29-09.40,3799,2.5565648,846.0
76,1638187629,2021.11.29-09.40,3849,2.811494,847.0
77,1638187752,2021.11.29-09.40,3899,2.6986585,848.0
78,1638187854,2021.11.29-09.40,3949,2.6460278,848.0
79,1638187973,2021.11.29-09.40,3999,2.5631816,849.0
80,1638188078,2021.11.29-09.40,4049,3.2477372,849.0
81,1638188078,2021.11.29-09.40,4049,3.2477372,849.0
82,1638188206,2021.11.29-09.40,4099,2.6921158,850.0
83,1638188322,2021.11.29-09.40,4149,2.5644891,851.0
84,1638188429,2021.11.29-09.40,4199,2.7126207,851.0
85,1638188543,2021.11.29-09.40,4249,2.7889178,852.0
86,1638188671,2021.11.29-09.40,4299,2.7141838,853.0
87,1638188773,2021.11.29-09.40,4349,2.5806763,853.0
88,1638188891,2021.11.29-09.40,4399,2.5802283,854.0
89,1638188999,2021.11.29-09.40,4449,3.06218,854.0
90,1638189115,2021.11.29-09.40,4499,2.6525514,855.0
91,1638189242,2021.11.29-09.40,4549,2.7949426,856.0
92,1638189343,2021.11.29-09.40,4599,2.8725095,856.0
93,1638189461,2021.11.29-09.40,4649,2.69684,857.0
94,1638189583,2021.11.29-09.40,4699,2.5893743,858.0
95,1638189684,2021.11.29-09.40,4749,2.7284386,858.0
96,1638189798,2021.11.29-09.40,4799,2.5715778,859.0
97,1638189908,2021.11.29-09.40,4849,2.9543662,859.0
98,1638190024,2021.11.29-09.40,4899,2.5615978,860.0
99,1638190147,2021.11.29-09.40,4949,2.7210975,861.0
100,1638190250,2021.11.29-09.40,4999,2.7941408,861.0
101,1638190368,2021.11.29-09.40,5049,2.80336,862.0
102,1638190471,2021.11.29-09.40,5099,2.6597767,862.0
103,1638190586,2021.11.29-09.40,5149,2.8089948,863.0
104,1638190713,2021.11.29-09.40,5199,2.8286767,864.0
105,1638190820,2021.11.29-09.40,5249,2.8678877,864.0
106,1638190933,2021.11.29-09.40,5299,2.8211534,865.0
107,1638191062,2021.11.29-09.40,5349,2.6421223,866.0
108,1638191168,2021.11.29-09.40,5399,2.531569,866.0
109,1638191283,2021.11.29-09.40,5449,2.6886532,867.0
110,1638191390,2021.11.29-09.40,5499,2.6321325,867.0
111,1638191508,2021.11.29-09.40,5549,2.915045,868.0
112,1638191633,2021.11.29-09.40,5599,2.5888631,869.0
113,1638191737,2021.11.29-09.40,5649,2.551513,869.0
114,1638191855,2021.11.29-09.40,5699,2.6351328,870.0
115,1638191959,2021.11.29-09.40,5749,2.640566,870.0
116,1638192076,2021.11.29-09.40,5799,2.562493,871.0
117,1638192202,2021.11.29-09.40,5849,2.5162807,872.0
118,1638192311,2021.11.29-09.40,5899,2.760784,872.0
119,1638192427,2021.11.29-09.40,5949,2.7771642,873.0
120,1638192552,2021.11.29-09.40,5999,2.7019815,874.0
121,1638192657,2021.11.29-09.40,6049,2.7473714,874.0
122,1638192774,2021.11.29-09.40,6099,2.6813526,875.0
123,1638192880,2021.11.29-09.40,6149,2.6741922,875.0
124,1638192996,2021.11.29-09.40,6199,2.6674488,876.0
125,1638193124,2021.11.29-09.40,6249,2.3825388,877.0
126,1638193227,2021.11.29-09.40,6299,2.5490885,877.0
127,1638193342,2021.11.29-09.40,6349,2.8309152,878.0
128,1638193466,2021.11.29-09.40,6399,2.6849759,879.0
129,1638193565,2021.11.29-09.40,6449,2.8588316,879.0
130,1638193683,2021.11.29-09.40,6499,2.5973766,880.0
131,1638193790,2021.11.29-09.40,6549,3.028629,880.0
132,1638193903,2021.11.29-09.40,6599,2.7952492,881.0
133,1638194032,2021.11.29-09.40,6649,3.1303453,882.0
